gps_id	color_ring
GP100	KKAS
GP101	DMAU
GP121	PCAS
GP124	KCAV
GP131	KYAS
GP132	LGAW
GP134	KWAT
GP135	LPAL
GP140	TSAL
GP142	KHAF
GP143	DHAP
GP158	PLAF
GP179	YLAS
GPS05	CLAJ
GPS06	GJAS
GPS07	HSAS
GPS08	GVAG
GPS12	DGAB
GPS13	GWAA
GPS14	KDAS
GPS15	GMAG
GPS16	KHAD
GPS17	HNAJ
GPS18	KWAP
GPS20	KKAA
GPS21	KMAR
GPS22	LRAH
GPS25	LDAC
GPS27	KDAH
GPS30	PKAT
GPS40	DAAH
GPS42	KHAU
GPS43	KLAH
GPS44	735N
GPS45	HCAT
GPS49	KKAJ
GPS50	LGAN
GPS51	HAAV
GPS53	LFAW
GPS54	LSAM
GPS55	KDAN
GPS56	HDAK
GPS57	KCAG
GPS59	LCAK
GPS60	KJAS
GPS61	TRAF
GPS63	PJAM
GPS68	FBAH
GPS98	BVAM
GP129	DJAB
GP130	LGAV
GP136	ALOV
GPS09	BWAD
GPS10	KLAT
GPS11	PR3
GPS23	TY2
GPS24	RTO
GPS26	E099
GPS28	MKAU
GPS38	ZVAW
GPS41	TSAV
GPS46	DJAM
GPS47	TRAC
GPS48	ASAH
GPS52	DZAK
GPS62	ADAF
GPS86	UWAK
GP176	AFOT
GP148	AHOC
GP147	AHOT
GP128	AJOL
GP146	AKOS
GP133	ALOS
GP168	AXOB
GP175	BFON
GP170	CMOK
GP169	CSOF
GP195	DKOK
GP197	DROS
GP196	DVON
GP198	FGOL
GP200	FROH
GP201	FWOH
GP199	FZOZ
GP172	NNAB
GP180	NNAK
GPS94	RPAT
GPS92	RRAA
GPS95	RRAK
GPS88	RRAR
GPS91	RSAF
GPS97	RSAM
GPS96	RSAN
GP141	RUAB
GP125	RUAG
GP122	RUAW
GPS93	RWAP
GPS69	RZAG
GPS90	RZAL
GPS89	RZAP
GPS19	UDAR
GPS04	YGAA
GPS34	YJAR
GPS39	YJAZ
GPS02	YKAT
GPS37	YKAW
GPS03	YLAH
GPS01	YLAT
GPS36	YLAY
GPS35	YWAZ
GPS82	ZAAB
GPS65	ZAAL
GPS66	ZAAZ
GPS80	ZBAA
GPS67	ZCAD
GPS81	ZCAU
GP160	ZHAC
GP171	ZHAH
GP166	ZHAP
GP164	ZHAZ
GP159	ZJAM
GP165	ZKAH
GPS29	ZTAK
GPS32	ZUAF
GPS33	ZVAT
GPS31	ZVAX
GP119	ZWAA
GP117	ZWAG
GP118	ZWAM
GP138	ZXAT
GP120	ZYAN
GP126	ZZAA
GP123	ZZAB
GP139	ZZAG
GP137	ZZAM
GP127	ZZAX
GP202	FLOG
GP203	FDOK
GP205	FHOS
GP104	CRAU
GP207	GAOV
