bird_reference	bird_shorthand	bird_shorthand_pt
1	BBAJ	BBAJ
2	BAAV	BAAV
3	BAAW	BAAW
4	BAAX	BAAX
5	BAAY	BAAY
6	BCAA	BCAA
7	BBAL	BBAL
8	BBAP	BBAP
9	BBAR	BBAR
10	BKAX	BKAX
11	BBAT	BBAT
12	BBAU	BBAU
13	BBAV	BBAV
14	BBAW	BBAW
15	BBAX	BBAX
16	BBAY	BBAY
17	BBAZ	BBAZ
18	BAAA	BAAA
19	BAAB	BAAB
20	BAAC	BAAC
21	BAAF	BAAF
22	BAAG	BAAG
23	BAAH	BAAH
24	BAAJ	BAAJ
25	BAAK	BAAK
26	BCAV	BCAV
27	BCAW	BCAW
28	BCAX	BCAX
29	BCAY	BCAY
30	BCAZ	BCAZ
31	BDAA	BDAA
32	ADAP	ADAP
33	BDAB	BDAB
34	BDAC	BDAC
35	BDAD	BDAD
36	BDAF	BDAF
37	BDAG	BDAG
38	BDAH	BDAH
39	BDAJ	BDAJ
40	BDAK	BDAK
41	BDAL	BDAL
42	BDAM	BDAM
43	BBAA	BBAA
44	BBAB	BBAB
45	BBAC	BBAC
46	BBAD	BBAD
47	BBAF	BBAF
48	BDAN	BDAN
49	BDAP	BDAP
50	BDAR	BDAR
51	BDAS	BDAS
52	BDAT	BDAT
53	BDAU	BDAU
54	BDAV	BDAV
55	BDAW	BDAW
56	BDAX	BDAX
57	BDAZ	BDAZ
58	AVAT	AVAT
59	BCAR	BCAR
60	BCAS	BCAS
61	BCAT	BCAT
62	BCAU	BCAU
63	BSAY	BSAY
64	BCAD	BCAD
65	BCAF	BCAF
66	BCAG	BCAG
67	BCAH	BCAH
68	BCAJ	BCAJ
69	BCAK	BCAK
70	BCAL	BCAL
71	BCAM	BCAM
72	BCAN	BCAN
73	BCAP	BCAP
74	BMAK	BMAK
75	AFAS	AFAS
76	ASAX	ASAX
77	ASAY	ASAY
78	ASAU	ASAU
79	AWAB	AWAB
80	AUAP	AUAP
81	AVAA	AVAA
82	AVAC	AVAC
83	AVAD	AVAD
84	AVAH	AVAH
85	AVAL	AVAL
86	AVAS	AVAS
87	AWAD	AWAD
88	AWAF	AWAF
89	AWAH	AWAH
90	AWAJ	AWAJ
91	AWAM	AWAM
92	AWAN	AWAN
93	AWAR	AWAR
94	AWAU	AWAU
95	AWAV	AWAV
96	AWAW	AWAW
97	BJAA	BJAA
98	BJAJ	BJAJ
99	BJAL	BJAL
100	AXAG	AXAG
101	AXAJ	AXAJ
102	BJAP	BJAP
103	BJAR	BJAR
104	BJAT	BJAT
105	BJAX	BJAX
106	BJAY	BJAY
107	BJAZ	BJAZ
108	BKAA	BKAA
109	BKAC	BKAC
110	BKAD	BKAD
111	BKAJ	BKAJ
112	BKAK	BKAK
113	BKAN	BKAN
114	BKAZ	BKAZ
115	BLAB	BLAB
116	BLAC	BLAC
117	BLAD	BLAD
118	BLAF	BLAF
119	BLAG	BLAG
120	BLAH	BLAH
121	BLAJ	BLAJ
122	BLAK	BLAK
123	BLAL	BLAL
124	BLAM	BLAM
125	BLAN	BLAN
126	BLAP	BLAP
127	BLAR	BLAR
128	BLAT	BLAT
129	BLAU	BLAU
130	BMAP	BMAP
131	BMAR	BMAR
132	BMAS	BMAS
133	BMAT	BMAT
134	BMAU	BMAU
135	BMAV	BMAV
136	BLAV	BLAV
137	BLAW	BLAW
138	BLAX	BLAX
139	BLAY	BLAY
140	BMAA	BMAA
141	BMAC	BMAC
142	BMAD	BMAD
143	BMAF	BMAF
144	BMAG	BMAG
145	BMAM	BMAM
146	BMAN	BMAN
147	AAAA	AAAA
148	BJAG	BJAG
149	APAR	APAR
150	ABAA	ABAA
151	ANAC	ANAC
152	AKAZ	AKAZ
153	ANAF	ANAF
154	AMAB	AMAB
155	AJAR	AJAR
156	AJAP	AJAP
157	AJAX	AJAX
158	AKAA	AKAA
159	AKAB	AKAB
160	AKAD	AKAD
161	AKAG	AKAG
162	AKAH	AKAH
163	AKAJ	AKAJ
164	AKAK	AKAK
165	AKAM	AKAM
166	AKAS	AKAS
167	AKAT	AKAT
168	ALAA	ALAA
169	ALAB	ALAB
170	ALAC	ALAC
171	ALAD	ALAD
172	ALAF	ALAF
173	ALAG	ALAG
174	ALAN	ALAN
175	ALAS	ALAS
176	ALAU	ALAU
177	ALAY	ALAY
178	AMAC	AMAC
179	AMAH	AMAH
180	AMAJ	AMAJ
181	AMAN	AMAN
182	AMAW	AMAW
183	AMAY	AMAY
184	AMAZ	AMAZ
185	ANAG	ANAG
186	ANAH	ANAH
187	ANAL	ANAL
188	ANAR	ANAR
189	ANAT	ANAT
190	ANAX	ANAX
191	ANAY	ANAY
192	APAA	APAA
193	APAB	APAB
194	AZAV	AZAV
195	BAAD	BAAD
196	AWAS	AWAS
197	BRAC	BRAC
198	BRAA	BRAA
199	BRAD	BRAD
200	BRAF	BRAF
201	BRAG	BRAG
202	BRAH	BRAH
203	BRAJ	BRAJ
204	BRAK	BRAK
205	BRAM	BRAM
206	BRAN	BRAN
