Nummer	first_Nummer	NummerNieuw	NummerDesc	Plaats	RingKleurCode	InscriptieKleurCode	EuringCode	GeslachtCode	MetaalringNummer	MetaalringPlaats	MetaalringLandCode	color_ring	sovon_bird_notes
BBAJ	BBAJ	BBAJ	BBAJ		B	W	05910	O	L89194		BE		
BAAV	BAAV	BAAV	BAAV		B	W	05910	O	L89321		BE		
BAAW	BAAW	BAAW	BAAW		B	W	05910	O	L89322		BE		
BAAX	BAAX	BAAX	BAAX		B	W	05910	O	L89323		BE		
BAAY	BAAY	BAAY	BAAY	RU	B	W	05910	O	L89324	LL	BE		
BCAA	BCAA	BCAA	BCAA	RU	B	W	05910	O	L89325	LL	BE		
BBAL	BBAL	BBAL	BBAL	RU	B	W	05910	O	L89195	LL	BE		
BBAP	BBAP	BBAP	BBAP	RL	B	W	05910	O	L89196	LL	BE		
BBAR	BBAR	BBAR	BBAR		B	W	05910	O	L89197		BE		
BKAX	BKAX	BKAX	BKAX	RU	B	W	05910	M	L89198	LL	BE		
BBAT	BBAT	GHAB	GHA.B	RU	B	W	05910	M	L907013	LL	BE		
BBAU	BBAU	BBAU	BBAU	RU	B	W	05910	O	L89200	LL	BE		
BBAV	BBAV	BBAV	BBAV	RL	B	W	05910	O	L89301	LL	BE		
BBAW	BBAW	KHAA	KH.AA	RU	B	W	05910	O	L907446	LL	BE		
BBAX	BBAX	KZAC	KZ.AC	RU	B	W	05910	V	L909956	LL	BE		
BBAY	BBAY	BBAY	BBAY	RU	B	W	05910	M	L89304	LL	BE		
BBAZ	BBAZ	BBAZ	BBAZ	RU	B	W	05910	O	L89305	LL	BE		
BAAA	BAAA	BAAA	BAAA		B	W	05910	O	L89306		BE		
BAAB	BAAB	BAAB	BAAB	RU	B	W	05910	O	L89307	LL	BE		
BAAC	BAAC	BAAC	BAAC		B	W	05910	O	L89308		BE		
BAAF	BAAF	BAAF	BAAF	RU	B	W	05910	O	L89309	LL	BE		
BAAG	BAAG	BAAG	BAAG	RU	B	W	05910	M	L89310	LL	BE		
BAAH	BAAH	BAAH	BAAH	RU	B	W	05910	M	L89311	LL	BE		
BAAJ	BAAJ	BAAJ	BAAJ		B	W	05910	O	L89312		BE		
BAAK	BAAK	BAAK	BAAK	RU	B	W	05910	M	L89313	LL	BE		
BCAV	BCAV	LMAA	L.MAA	RU	B	W	05910	M	L909920	LL	BE		
BCAW	BCAW	BCAW	BCAW		B	W	05910	O	L89216		BE		
BCAX	BCAX	BCAX	BCAX	RL	B	W	05910	O	L89217	LL	BE		
BCAY	BCAY	BCAY	BCAY		B	W	05910	O	L89218		BE		
BCAZ	BCAZ	BCAZ	BCAZ		B	W	05910	O	L89219		BE		
BDAA	BDAA	BDAA	BDAA	RU	B	W	05910	O	L89220	LL	BE		
ADAP	ADAP	NGAP	NG.AP	RD	B	W	05910	M	L913155	LL	BE		
BDAB	BDAB	BDAB	BDAB	RU	B	W	05910	O	L89222	LL	BE		
BDAC	BDAC	BDAC	BDAC		B	W	05910	O	L89223		BE		
BDAD	BDAD	GMAA	G.MAA	RU	B	W	05910	M	L906637	LL	BE		
BDAF	BDAF	BDAF	BDAF		B	W	05910	O	L89225		BE		
BDAG	BDAG	BDAG	BDAG		B	W	05910	O	L89226		BE		
BDAH	BDAH	DFAW	DF.AW	RU	B	W	05910	O	L904906	LL	BE		
BDAJ	BDAJ	BDAJ	BDAJ		B	W	05910	O	L89228		BE		
BDAK	BDAK	BDAK	BDAK		B	W	05910	O	L89229		BE		
BDAL	BDAL	BDAL	BDAL	RU	B	W	05910	O	L89230	LL	BE		
BDAM	BDAM	BDAM	BDAM		B	W	05910	V	L89231		BE		
BBAA	BBAA	BBAA	BBAA		B	W	05910	O	L89187		BE		
BBAB	BBAB	BBAB	BBAB	RU	B	W	05910	M	L89188	LL	BE		
BBAC	BBAC	BBAC	BBAC		B	W	05910	O	L89189		BE		
BBAD	BBAD	BBAD	BBAD		B	W	05910	O	L89190		BE		
BBAF	BBAF	BBAF	BBAF	RU	B	W	05910	V	L89191	LL	BE		
BDAN	BDAN	BDAN	BDAN	RU	B	W	05910	V	L89232	LL	BE		
BDAP	BDAP	BDAP	BDAP	RU	B	W	05910	V	L89233	LL	BE		
BDAR	BDAR	BDAR	BDAR		B	W	05910	O	L89234		BE		
BDAS	BDAS	BDAS	BDAS	RU	B	W	05910	O	L89235	LL	BE		
BDAT	BDAT	BDAT	BDAT	RU	B	W	05910	O	L89236	LL	BE		
BDAU	BDAU	BDAU	BDAU	RU	B	W	05910	M	L89237	LL	BE		
BDAV	BDAV	BDAV	BDAV	RU	B	W	05910	M	L89238	LL	BE		
BDAW	BDAW	BDAW	BDAW	RU	B	W	05910	O	L89239	LL	BE		
BDAX	BDAX	BDAX	BDAX	RU	B	W	05910	O	L89240	LL	BE		
BDAZ	BDAZ	BDAZ	BDAZ		B	W	05910	O	L89241		BE		
AVAT	AVAT	AVAT	AVAT	RU	B	W	05910	O	L89242	LL	BE		
BCAR	BCAR	BCAR	BCAR	RU	B	W	05910	O	L89211	LL	BE		
BCAS	BCAS	BCAS	BCAS		B	W	05910	O	L89212		BE		
BCAT	BCAT	BCAT	BCAT	RU	B	W	05910	O	L89213	LL	BE		
BCAU	BCAU	BCAU	BCAU		B	W	05910	O	L89214		BE		
