raw_Nummer,raw_NummerNieuw,raw_NummerDesc,raw_Plaats,raw_RingKleurCode,raw_InscriptieKleurCode,raw_EuringCode,raw_GeslachtCode,raw_MetaalringNummer,raw_MetaalringPlaats,raw_MetaalringLandCode
BBAT,GHAB,GHA.B,RU,B,W,05910,M,L907013,LL,BE
BBAW,KHAA,KH.AA,RU,B,W,05910,O,L907446,LL,BE
BBAX,KZAC,KZ.AC,RU,B,W,05910,V,L909956,LL,BE
BCAV,LMAA,L.MAA,RU,B,W,05910,M,L909920,LL,BE
ADAP,NGAP,NG.AP,RD,B,W,05910,M,L913155,LL,BE
BDAD,GMAA,G.MAA,RU,B,W,05910,M,L906637,LL,BE
BDAH,DFAW,DF.AW,RU,B,W,05910,O,L904906,LL,BE
BSAY,TSAK,TS.AK,RU,B,W,05910,M,L912663,LL,BE
BCAD,GJAV,GJA.V,RU,B,W,05910,M,L907008,LL,BE
BCAN,DHAG,DH.AG,RU,B,W,05910,M,L904813,LL,BE
AFAS,LBAG,LBA.G,RU,B,W,05910,M,L909989,LL,BE
ASAX,KCAN,KC.AN,RU,B,W,05910,M,L909270,LL,BE
ASAY,HWAT,H.WAT,RU,B,W,05910,M,L909644,LL,BE
AUAP,KGAR,KG.AR,RU,B,W,05910,M,L909674,LL,BE
AVAD,UTAL,U.TAL,RU,B,W,05910,M,L914601,LL,BE
AWAR,DGAU,DG.AU,RU,B,W,05910,M,L902146,LL,BE
BJAA,HWAF,HW.AF,RU,B,W,05910,M,L909636,LL,BE
BJAY,GJAY,GJA.Y,RU,B,W,05910,V,L907007,LL,BE
BLAD,HWAJ,HW.AJ,RU,B,W,05910,M,L909631,LL,BE
BLAH,KSAF,KS.AF,RU,B,W,05910,M,L909268,LL,BE
BLAR,KKAB,KK.AB,RU,B,W,05910,M,L909682,LL,BE
BMAN,CZAX,CZ.AX,RU,B,W,05910,M,L909903,LL,BE
AAAA,CYAA,CY.AA,RU,B,W,05920,V,H159513,LL,BE
AJAP,KRAL,KR.AL,RU,B,W,05920,M,H146476,LL,BE
AKAA,FNAH,FN.AH,RU,B,W,05920,V,H136827,LL,BE
AKAB,KSAN,KS.AN,RU,B,W,05920,M,H152241,LL,BE
AMAN,CTAG,CTA.G,RU,B,W,05920,M,H153875,LL,BE
BRAF,FUAJ,F.UAJ,RU,B,W,05920,V,H136842,LL,BE
AAAJ,FNAC,F.NAC,RU,B,W,05920,M,H136845,LL,BE
AAAR,KPAU,KP.AU,RU,B,W,05920,M,H152230,LL,BE
BRAV,FHAR,FH.AR,RU,B,W,05920,V,H136849,LL,BE
BRAX,KRAV,KR.AV,RU,B,W,05920,M,H146485,LL,BE
BRAZ,GFAT,G.FAT,RU,B,W,05920,O,H145698,LL,BE
AGAW,FSAG,F.SAG,RU,B,W,05920,M,H136833,LL,BE
ACAZ,B0,B0,,Y,Z,05920,M,6142906,,NL
AFAR,KGAN,KG.AN,RU,B,W,05910,M,L909671,LL,BE
AFAU,FAAB,FA.AB,RD,B,W,05920,M,H145595,LL,BE
AJAT,STAW,S.TAW,RU,B,W,05920,M,H901951,LL,BE
AMAS,CZAD,C.ZAD,RL,B,W,05920,M,H136755,LL,BE
ASAF,GDAC,G.DAC,RU,B,W,05920,V,H152148,LL,BE
BUAP,KZAP,KZ.AP,RU,B,W,05920,M,H108755,LL,BE
BVAX,KVAJ,KV.AJ,RU,B,W,05920,V,H152374,LL,BE
BUAJ,GMAF,GM.AF,RU,B,W,05910,V,L907001,LL,BE
BUAW,HWAS,HWA.S,RU,B,W,05910,V,L909641,LL,BE
BUAZ,KNAW,KN.AW,RU,B,W,05910,M,L907231,LL,BE
BVAC,GUAP,GUA.P,RU,B,W,05910,V,L906731,LL,BE
BVAP,NFAA,NFA.A,RU,B,W,05910,M,L909772,LL,BE
BWAK,GZAX,GZ.AX,RU,B,W,05910,V,L906541,LL,BE
AAAZ,DFAY,D.FAY,RU,B,W,05910,M,L904847,LL,BE
CAAM,CNAA,CN.AA,,B,W,05920,O,6166723,,NL
CBAB,FJAC,FJ.AC,RU,B,W,05920,M,H146416,LL,BE
BZAC,KRAC,KR.AC,RU,B,W,05920,V,H146474,LL,BE
BYAM,CZAJ,CZ.AJ,RU,B,W,05920,V,H161455,LL,BE
BYAP,FXAY,FX.AY,RU,B,W,05920,V,H146410,LL,BE
BYAU,FSAN,F.SAN,RU,B,W,05920,M,H136829,LL,BE
BYAX,FTAZ,F.TAZ,RU,B,W,05920,V,H136828,LL,BE
AMAD,GFAR,GF.AR,RU,B,W,05910,M,L907009,LL,BE
AHAP,DLAR,D.LAR,RU,B,W,05910,M,H146407,LL,BE
AMAX,DKAS,DKA.S,RU,B,W,05910,M,L904918,LL,BE
BHAW,URAA,U.RAA,RU,B,W,05910,M,L914607,LL,BE
AJAD,GDAB,GDA.B,RD,B,W,05910,V,L906732,LL,BE
AAAT,KJAB,KJ.AB,RU,B,W,05910,M,L909219,LL,BE
ABAK,KFAB,KF.AB,RU,B,W,05910,V,L904851,LL,BE
ABAR,DHAT,DHA.T,RU,B,W,05910,M,L904833,LL,BE
ACAJ,DGAW,D.GAW,RU,B,W,05910,M,L902142,LL,BE
ACAR,KLAR,KL.AR,RU,B,W,05910,M,L907431,LL,BE
AFAB,LBAW,L.BAW,RU,B,W,05910,M,L907345,LL,BE
AGAF,DFAZ,DF.AZ,RU,B,W,05910,M,L904848,LL,BE
AGAG,LCAU,L.CAU,RU,B,W,05910,M,L909946,LL,BE
AHAS,LGAJ,L.GAJ,RU,B,W,05910,M,L911709,LL,BE
AJAA,KYAC,KY.AC,RU,B,W,05910,M,L909965,LL,BE
AJAJ,GLAD,GL.AD,RU,B,W,05910,M,L906743,LL,BE
AJAK,DJAK,D.JAK,RU,B,W,05910,M,L904808,LL,BE
AKAU,NGAB,NGA.B,RU,B,W,05910,M,L913152,LL,BE
ALAK,DJAL,DJ.AL,RU,B,W,05910,M,L904807,LL,BE
ALAL,GHAG,G.HAG,RU,B,W,05910,M,L907017,LL,BE
ANAN,HVAC,H.VAC,RU,B,W,05910,V,L909616,LL,BE
ASAG,KAAT,KA.AT,RU,B,W,05910,M,L907232,LL,BE
ASAK,KMAP,KM.AP,RU,B,W,05910,M,L907409,LL,BE
UHAB,NNAR,NNA.R,RL,B,W,05910,O,L916179,LL,
GPS53,RWAK,RWAK,RU,B,W,5910,V,L911715,LL,
GPS47,TRAC,TRA.C,RU,B,W,5910,M,L912674,LL,
GPS06,UDAD,U.DAD,RU,B,W,5910,V,L907004,LL,
GPS07,URAM,UR.AM,RU,B,W,5910,M,L907172,LL,
GPS08,URAK,URA.K,RL,B,W,5910,M,L906682,LL,
GPS09,UBAS,UBA.S,RL,B,W,5910,M,L906623,LL,
GPS10,UPAK,UPA.K,RU,B,W,5910,V,L909213,LL,
GPS05,YGAP,YGAP,RU,B,W,5920,V,H903185,LL,
GPS11,URAL,U.RAL,RU,B,W,5910,M,L904812,LL,
GPS12,UBAR,UB.AR,RD,B,W,5910,M,L902124,LL,
GPS13,UPAV,UPA.V,RU,B,W,5910,V,L906543,LL,
CNAP,ZXAD,Z.XAD,RU,B,W,05920,O,H903794,LL,BE
HKAT,RUAK,RUA.K,RU,B,W,05910,O,L907266,LL,BE
HCAM,AKOL,A.KOL,RU,B,W,05910,O,L909834,LL,BE
HCAH,DCOG,DCO.G,RD,B,W,05910,O,L909840,LL,BE
HCAU,TMAT,T.MAT,RU,B,W,05910,M,L914810,LL,BE
HUAF,UFAW,U.FAW,RU,B,W,05910,V,L914825,LL,BE
HFAR,RZAK,RZA.K,RU,B,W,05910,M,L907369,LL,BE
R7,LBAA,L.BAA,RU,B,W,05910,V,L905125,LL,BE
GPS14,UDAC,UDA.C,RU,B,W,5910,M,L901266,LL,
GPS15,UAAN,UAA.N,RU,B,W,5910,M,L906644,LL,
GPS16,UMAD,U.MAD,RL,B,W,5910,V,L907450,LL,
GPS17,UBAU,UB.AU,RU,B,W,5910,M,L909197,LL,
GPS18,UMAT,U.MAT,RU,B,W,5910,M,L907322,LL,
GPS20,UAAA,U.AAA,RU,B,W,5910,V,L909681,LL,
GPS21,USAT,U.SAT,RU,B,W,5910,V,L907407,LL,
GPS22,USAS,USA.S,RL,B,W,5910,V,L909887,LL,
GPS23,UAAM,UA.AM,RU,B,W,5910,V,L906646,LL,
GPS24,UPAC,UPA.C,RL,B,W,5910,V,L902130,LL,
GPS25,UMAF,UM.AF,RL,B,W,5910,V,L909877,LL,
GPS26,UCAX,UC.AX,RL,B,W,5910,M,L907016,LL,
GPS27,UPAG,UPA.G,LU,B,W,5910,M,5331094,RL,
YBAG,YWAL,Y.WAL,RU,B,W,5920,O,H903186,LL,
GPS30,ZTAW,Z.TAW,RU,B,W,5920,V,H900926,LL,
GPS56,RZAS,RZA.S,RL,B,W,5910,M,L909346,LL,
GPS60,RWAF,RW.AF,RU,B,W,5910,M,L907253,LL,
GPS61,RZAC,RZA.C,RU,B,W,5910,V,L912685,LL,
GPS62,RWAT,R.WAT,RU,B,W,5910,M,L904816,LL,
GPS63,RWAU,RW.AU,LU,B,W,5910,M,L901531,RL,
GPS45,PGAR,PG.AR,RD,B,W,5910,M,L907257,LL,
GPS38,ZVAW,Z.VAW,RU,B,W,5920,V,H903607,LL,
GPS40,PGAU,PG.AU,RD,B,W,5910,M,L904852,LL,
GPS41,TSAV,TS.AV,RU,B,W,5910,M,L901851,LL,
GPS59,RXAD,R.XAD,RU,B,W,5910,V,L909937,LL,
GPS44,PGAA,P.GAA,LU,B,W,5910,V,EA672503,RL,
GPS54,RZAT,R.ZAT,RU,B,W,5910,M,L910935,LL,
GPS55,RXAN,RXA.N,RL,B,W,5910,V,L907424,LL,
GPS98,RPAU,RP.AU,,B,W,5910,V,L916310,,
GP100,RZAD,R.ZAD,RL,B,W,5910,V,L909695,LL,
GP135,AHOX,AH.OX,RU,B,W,5910,M,L909718,LL,
GP136,ALOV,ALO.V,RU,B,W,5910,V,L916203,LL,
GP134,AHOG,AHO.G,RU,B,W,5910,V,L909974,LL,
GP124,RTAK,RTA.K,RU,B,W,5910,M,L901928,LL,
EX07,NGAX,NGA.X,RU,B,W,05910,M,L913153,LL,BE
HWAL,MWAB,M.WAB,RU,B,W,05910,V,L909634,LL,BE
CUAF,YYAU,YY.AU,RU,B,W,05920,M,H903058,LL,BE
GP158,ZKAN,ZKA.N,RU,B,W,5920,V,H901497,LL,
GPS28,CZOZ,C.ZOZ,RU,B,W,5920,V,H903604,LL,
GPS50,PGAN,PGA.N,RU,B,W,5910,V,L911710,LL,
GPS52,PGAW,P.GAW,RU,B,W,5910,V,L906110,LL,
GPS57,RWAW,R.WAW,RL,B,W,5910,M,L909279,LL,
GPS49,PGAP,P.GAP,RL,B,W,5910,V,L909688,LL,
GPS46,PGAX,PG.AX,LL,B,W,5910,V,L904806,RL,
GPS43,PGAD,P.GAD,LU,B,W,5910,V,L916122,RL,
GPS42,PGAM,PG.AM,RU,B,W,5910,M,L909202,LL,
GPS48,PGAB,PG.AB,RD,B,W,5910,M,L909648,LL,
GPS51,PGAC,PGA.C,RD,B,W,5910,V,L909341,LL,
GPS68,ZBAC,ZBA.C,RU,B,W,5920,V,H903130,LL,
GPS86,UWAK,UWA.K,RU,B,W,5910,M,L914750,LL,
GP121,ZWAP,Z.WAP,RU,B,W,5920,M,H900906,LL,
GP129,RUAU,RU.AU,RL,B,W,5910,V,L914820,LL,
GP132,ABOX,AB.OX,RU,B,W,5910,V,L901717,LL,
GP143,ALOP,A.LOP,RU,B,W,5910,M,L902150,LL,
GP142,AHOP,A.HOP,RU,B,W,5910,V,L907448,LL,
GPS70,KHAW,KH.AW,RU,B,W,5910,M,L909206,LL,
GP130,AGOK,AGO.K,RU,B,W,5910,M,L911707,LL,
GP131,ALOX,AL.OX,RU,B,W,5910,V,L909972,LL,
GP140,RTAN,RTA.N,RU,B,W,5910,V,L912682,LL,
LRAL,URAG,URA.G,RU,B,W,05910,O,L909882,LL,BE
CZAZ,PKAA,P.KAA,RU,B,W,05920,V,H900977,LL,BE
HWAU,TMAM,TM.AM,RU,B,W,05910,V,L914819,LL,BE
BKU,LAAZ,LA.AZ,LU,B,W,05910,M,GF77271,RL,UK
LCAB,DCOC,DCO.C,RU,B,W,05910,M,L909938,LL,BE
LGAH,TPAX,TP.AX,RU,B,W,05910,M,L914806,LL,BE
LDAD,UPAA,U.PAA,RU,B,W,05910,O,L909873,LL,BE
LCAX,DBOV,DBO.V,LU,B,W,05910,M,L904113,RL,BE
294N,NGAN,N.GAN,LU,B,W,05910,V,EA672315,RL,FR
GGAL,NGAS,N.GAS,RU,B,W,05910,M,L907053,LL,BE
MZAC,ZZAD,Z.ZAD,RU,B,W,05920,M,H900842,LL,BE
THV,LRAV,LRA.V,LU,B,W,05910,V,GA37661,RL,UK
MMAS,AHOW,A.HOW,RU,B,W,05910,O,L906605,LL,BE
GP179,BCOG,BCO.G,RU,B,W,5910,M,L917359,LL,
GUAY,DDOV,DDO.V,RL,B,W,05910,M,L907124,LL,BE
GAAN,YLAA,Y.LAA,RU,B,W,05920,M,H905258,LL,BE
GLAZ,HAAA,H.AAA,RU,B,W,05910,O,L906767,LL,BE
GWAF,TRAX,T.RAX,RU,B,W,05910,V,L912689,LL,BE
GWAY,UWAU,UW.AU,RD,B,W,05910,O,L907123,LL,BE
GZAR,NNAN,N.NAN,RU,B,W,05910,V,L906532,LL,BE
E800,GVAR,GVA.R,RD,B,W,05910,M,L906690,LL,BE
GRAU,DUOK,DUO.K,RD,B,W,05910,O,L907105,LL,BE
AH6,GJAL,G.JAL,RU,B,W,05922,V,L906636,LL,BE
GPAY,DAOV,DAO.V,RU,B,W,05910,V,L907064,LL,BE
GJAU,UCAK,UCA.K,RU,B,W,05910,V,L907006,LL,BE
X4,GJAZ,G.JAZ,RD,B,W,05910,V,L905675,LL,BE
GBAF,YJAN,YJA.N,RU,B,W,05920,O,H905274,LL,BE
E633,DFAT,DF.AT,RU,B,W,05910,M,L904908,LL,BE
CCAC,ZWAH,Z.WAH,RU,B,W,05920,V,H905204,LL,BE
CFAC,YNAJ,YN.AJ,RU,B,W,05920,M,H901953,LL,BE
DVAC,G7,G7,,Z,Y,05910,V,L906366,LL,BE
DPAS,HAAB,HA.AB,RU,B,W,05910,O,L905880,LL,BE
DWAJ,UBAK,UBA.K,RU,B,W,05910,M,L914829,LL,BE
FAAS,CBOP,C.BOP,RU,B,W,05920,O,H907930,LL,BE
DPAA,DVOG,DVO.G,RU,B,W,05910,O,L905862,LL,BE
DKAC,DFOS,DFO.S,RU,B,W,05910,M,L904910,LL,BE
GP101,DMAU,DMA.U,RU,B,W,05910,M,L905925,LL,BE
DVAU,PJAP,PJ.AP,RU,B,W,05910,V,L906381,LL,BE
FNAZ,YJAG,YJA.G,,B,W,05920,V,H905277,,BE
DCAR,TRAJ,TR.AJ,RU,B,W,05910,M,L914804,LL,BE
ACAG,GVAF,GVA.F,RU,B,W,05910,V,L906681,LL,BE
LTS,DHAU,D.HAU,RU,B,W,05910,O,L904831,LL,BE
DAAA,LZAU,LZA.U,RU,B,W,05910,M,L904744,LL,BE
DBAP,RXAX,RX.AX,RL,B,W,05910,M,L904882,LL,BE
AZAA,FKAY,F.KAY,RU,B,W,05920,M,H146417,LL,BE
AZAC,FVAY,F.VAY,RU,B,W,05920,V,H146411,LL,BE
AZAK,DHAA,DHA.A,RU,B,W,05910,M,L902147,LL,BE
AJAZ,CTAP,C.TAP,RD,B,W,05920,M,H153881,LL,BE
ASAV,PMAV,P.MAV,RU,B,W,05920,M,H901760,LL,BE
BFAT,KRAT,KR.AT,RD,B,W,05920,V,H146470,LL,BE
BMAX,KPAZ,KP.AZ,RU,B,W,05920,M,H146353,LL,BE
ATAN,YYAN,YYA.N,RU,B,W,05920,V,H903059,LL,BE
BHAR,CWAC,CWA.C,RU,B,W,05920,M,H159511,LL,BE
AUAB,KLAM,KL.AM,RU,B,W,05920,M,H146487,LL,BE
AXAM,GBAW,G.BAW,RU,B,W,05920,O,H106733,LL,BE
AYAK,KRAD,KR.AD,RU,B,W,05920,V,H146480,LL,BE
ATAW,FMAC,FM.AC,RU,B,W,05920,M,H136839,LL,BE
BGAT,FXAB,F.XAB,RU,B,W,05920,M,H136813,LL,BE
AVAP,KSAP,KS.AP,RD,B,W,05920,M,H152242,LL,BE
BKAB,CZAK,CZA.K,RU,B,W,05920,M,H153898,LL,BE
BKAF,CYAF,CYA.F,RU,B,W,05920,V,H159505,LL,BE
BKAG,GHAM,GHA.M,RU,B,W,05922,V,L907022,LL,BE
BHAK,KPAV,KP.AV,RU,B,W,05920,V,H152231,LL,BE
AMAL,LBAH,L.BAH,RU,B,W,05910,M,L909994,LL,BE
AMAM,DKAY,DKA.Y,RD,B,W,05910,M,L904912,LL,BE
ASAP,SZAT,SZA.T,RU,B,W,05910,M,H902297,LL,BE
BPAK,WE,WE,,Y,Z,05910,O,5434911,,NL
BMAZ,FCAL,FC.AL,RU,B,W,05910,M,L904862,LL,BE
BSAL,UPAR,UP.AR,RU,B,W,05910,V,L914621,LL,BE
