Nummer	EuringCode	KleurringNummer	Datum	AktieCode
17753	05910	ACAJ	2006-04-21	meweg
16459	05910	ACAJ	2006-05-23	vang
57943	NA	AFAB	2009-04-01	meweg
45389	05910	AFAB	2009-05-29	vang
17932	05910	AHAS	2006-04-21	meweg
45725	05910	AHAS	2009-06-05	vang
24786	05910	AJAA	2007-05-17	meweg
45636	05910	AJAA	2009-05-22	vang
17956	05910	AJAD	2006-03-31	meweg
28734	05910	AJAD	2007-06-11	vang
17971	05910	AJAK	2006-04-21	meweg
16641	05910	AJAK	2006-05-24	vang
80181	NA	AJAT	2012-05-01	meweg
79004	05920	AJAT	2012-05-16	vang
67238	05910	AKAU	2011-05-24	meweg
67238	05910	AKAU	2011-05-24	vang
24884	05910	AMAL	2007-04-06	meweg
45610	05910	AMAL	2009-05-29	vang
24930	05910	ANAN	2007-03-09	meweg
45478	05910	ANAN	2009-05-14	vang
24982	05910	ASAP	2007-05-02	meweg
80193	NA	ASAP	2012-06-14	vang
15172	05910	ASAX	2005-06-14	meweg
33471	05910	ASAX	2008-05-21	vang
13817	05910	ASAY	2005-06-17	meweg
45515	05910	ASAY	2009-05-18	vang
34945	05910	AUAP	2008-04-04	meweg
33563	05910	AUAP	2008-06-04	vang
25029	05910	AVAD	2007-03-28	meweg
79024	05910	AVAD	2012-05-22	vang
35047	05910	BBAX	2008-03-12	meweg
45651	05910	BBAX	2009-05-22	vang
15491	05910	BCAV	2005-04-08	meweg
45739	05910	BCAV	2009-06-01	vang
35109	05910	BHAW	2008-03-12	meweg
80220	NA	BHAW	2012-05-29	vang
57935	NA	BJAA	2009-03-24	meweg
45496	05910	BJAA	2009-05-14	vang
25513	05910	BJAY	2007-05-03	meweg
23433	05910	BJAY	2007-06-14	vang
15724	05910	BLAH	2005-04-05	meweg
33611	05910	BLAH	2008-05-21	vang
25578	05910	BLAR	2007-04-18	meweg
33571	05910	BLAR	2008-06-04	vang
35219	05910	BNAH	2008-05-02	meweg
55909	05910	BNAH	2008-06-06	vang
25667	05910	BSAL	2007-03-09	meweg
78737	05910	BSAL	2012-06-13	vang
35258	05910	BSAY	2008-03-12	meweg
80248	NA	BSAY	2012-05-17	vang
15865	05910	BTAF	2005-04-05	meweg
67421	05910	BTAF	2011-06-03	vang
15877	05910	BTAX	2005-04-15	meweg
16664	05910	BTAX	2006-06-15	vang
25763	05910	BUAW	2007-04-25	meweg
45514	05910	BUAW	2009-05-18	vang
35331	05910	BUAZ	2008-04-02	meweg
32553	05910	BUAZ	2008-05-19	vang
61955	05910	BVAP	2010-03-31	meweg
58566	05910	BVAP	2010-05-18	vang
25824	05910	BWAK	2007-03-07	meweg
30053	05910	BWAK	2007-06-06	vang
14638	05910	GPS62	2004-11-23	meweg
16649	05910	GPS62	2006-05-26	vang
103027	NA	GPS62	2014-06-16	vang
35337	05910	GPS98	2008-04-02	meweg
109267	5910	GPS98	2015-06-03	vang
