bird_reference	raw_KleurringNummer	bird_date_begin	bird_shorthand_pt
1	BBAJ	1999-07-20T00:00:00Z	BBAJ
2	BAAV	1999-07-23T00:00:00Z	BAAV
3	BAAW	1999-07-23T00:00:00Z	BAAW
4	BAAX	1999-07-23T00:00:00Z	BAAX
5	BAAY	1999-07-23T00:00:00Z	BAAY
6	BCAA	1999-07-23T00:00:00Z	BCAA
7	BBAL	1999-07-23T00:00:00Z	BBAL
8	BBAP	1999-07-23T00:00:00Z	BBAP
9	BBAR	1999-07-23T00:00:00Z	BBAR
10	BKAX	1999-07-23T00:00:00Z	BKAX
11	BBAT	1999-07-23T00:00:00Z	BBAT
12	BBAU	1999-07-23T00:00:00Z	BBAU
13	BBAV	1999-07-23T00:00:00Z	BBAV
14	BBAW	1999-07-23T00:00:00Z	BBAW
15	BBAX	1999-07-23T00:00:00Z	BBAX
16	BBAY	1999-07-23T00:00:00Z	BBAY
17	BBAZ	1999-07-23T00:00:00Z	BBAZ
18	BAAA	1999-07-23T00:00:00Z	BAAA
19	BAAB	1999-07-23T00:00:00Z	BAAB
20	BAAC	1999-07-23T00:00:00Z	BAAC
21	BAAF	1999-07-23T00:00:00Z	BAAF
22	BAAG	1999-07-23T00:00:00Z	BAAG
23	BAAH	1999-07-23T00:00:00Z	BAAH
24	BAAJ	1999-07-23T00:00:00Z	BAAJ
25	BAAK	1999-07-23T00:00:00Z	BAAK
26	BCAV	1999-07-29T00:00:00Z	BCAV
27	BCAW	1999-07-29T00:00:00Z	BCAW
28	BCAX	1999-07-29T00:00:00Z	BCAX
29	BCAY	1999-07-29T00:00:00Z	BCAY
30	BCAZ	1999-07-29T00:00:00Z	BCAZ
31	BDAA	1999-07-29T00:00:00Z	BDAA
32	ADAP	1999-07-29T00:00:00Z	ADAP
33	BDAB	1999-07-29T00:00:00Z	BDAB
34	BDAC	1999-07-29T00:00:00Z	BDAC
35	BDAD	1999-07-29T00:00:00Z	BDAD
36	BDAF	1999-07-29T00:00:00Z	BDAF
37	BDAG	1999-07-29T00:00:00Z	BDAG
38	BDAH	1999-07-29T00:00:00Z	BDAH
39	BDAJ	1999-07-29T00:00:00Z	BDAJ
40	BDAK	1999-07-29T00:00:00Z	BDAK
41	BDAL	1999-07-29T00:00:00Z	BDAL
42	BDAM	1999-07-29T00:00:00Z	BDAM
43	BBAA	1999-07-20T00:00:00Z	BBAA
44	BBAB	1999-07-20T00:00:00Z	BBAB
45	BBAC	1999-07-20T00:00:00Z	BBAC
46	BBAD	1999-07-20T00:00:00Z	BBAD
47	BBAF	1999-07-20T00:00:00Z	BBAF
48	BDAN	1999-07-29T00:00:00Z	BDAN
49	BDAP	1999-07-29T00:00:00Z	BDAP
50	BDAR	1999-07-29T00:00:00Z	BDAR
51	BDAS	1999-07-29T00:00:00Z	BDAS
52	BDAT	1999-07-29T00:00:00Z	BDAT
53	BDAU	1999-07-29T00:00:00Z	BDAU
54	BDAV	1999-07-29T00:00:00Z	BDAV
55	BDAW	1999-07-29T00:00:00Z	BDAW
56	BDAX	1999-07-29T00:00:00Z	BDAX
57	BDAZ	1999-07-29T00:00:00Z	BDAZ
58	AVAT	1999-07-29T00:00:00Z	AVAT
59	BCAR	1999-07-28T00:00:00Z	BCAR
60	BCAS	1999-07-28T00:00:00Z	BCAS
61	BCAT	1999-07-28T00:00:00Z	BCAT
62	BCAU	1999-07-28T00:00:00Z	BCAU
63	BSAY	1999-07-29T00:00:00Z	BSAY
64	BCAD	1999-07-28T00:00:00Z	BCAD
65	BCAF	1999-07-28T00:00:00Z	BCAF
66	BCAG	1999-07-28T00:00:00Z	BCAG
67	BCAH	1999-07-28T00:00:00Z	BCAH
68	BCAJ	1999-07-28T00:00:00Z	BCAJ
69	BCAK	1999-07-28T00:00:00Z	BCAK
70	BCAL	1999-07-28T00:00:00Z	BCAL
71	BCAM	1999-07-28T00:00:00Z	BCAM
72	BCAN	1999-07-28T00:00:00Z	BCAN
73	BCAP	1999-07-28T00:00:00Z	BCAP
74	BMAK	1999-07-09T00:00:00Z	BMAK
75	AFAS	1999-07-07T00:00:00Z	AFAS
76	ASAX	1999-07-07T00:00:00Z	ASAX
77	ASAY	1999-07-07T00:00:00Z	ASAY
