bird_id,bird_reference,bird_reference_2019,bird_euring,bird_bto,bird_shorthand,bird_scheme,bird_ring_number,bird_name,bird_sex,bird_birth_year,bird_date_begin,bird_date_end,bird_rings_changed,bird_age_ringing,bird_ring_position,bird_ring_direction,bird_notes
,1,1,05910,,BW(BBAJ),BLB,L....89194,,U,,1999-07-20T00:00:00Z,,2,1,,,
,2,2,05910,,BW(BAAV),BLB,L....89321,,U,,1999-07-23T00:00:00Z,,2,1,,,
,3,3,05910,,BW(BAAW),BLB,L....89322,,U,,1999-07-23T00:00:00Z,,2,1,,,
,4,4,05910,,BW(BAAX),BLB,L....89323,,U,,1999-07-23T00:00:00Z,,2,1,,,
,5,5,05910,,BW(BAAY),BLB,L....89324,,U,,1999-07-23T00:00:00Z,,2,1,RB,U,
,6,6,05910,,BW(BCAA),BLB,L....89325,,U,,1999-07-23T00:00:00Z,,2,1,RB,U,
,7,7,05910,,BW(BBAL),BLB,L....89195,,U,,1999-07-23T00:00:00Z,,2,1,RB,U,
,8,8,05910,,BW(BBAP),BLB,L....89196,,U,,1999-07-23T00:00:00Z,,2,1,RB,,
,9,9,05910,,BW(BBAR),BLB,L....89197,,U,,1999-07-23T00:00:00Z,,2,1,,,
,10,10,05910,,BW(BKAX),BLB,L....89198,,M,,1999-07-23T00:00:00Z,,2,1,RB,U,
,11,11,05910,,BW(BBAT),BLB,L...907013,,M,,1999-07-23T00:00:00Z,2007-06-18T00:00:00Z,2,1,,,
,11,11,05910,,BW(GHA.B),BLB,L...907013,,M,,2007-06-18T00:00:00Z,,1,A,RB,U,
,12,12,05910,,BW(BBAU),BLB,L....89200,,U,,1999-07-23T00:00:00Z,,2,1,RB,U,
,13,13,05910,,BW(BBAV),BLB,L....89301,,U,,1999-07-23T00:00:00Z,,2,1,RB,,
,14,14,05910,,BW(BBAW),BLB,L...907446,,U,,1999-07-23T00:00:00Z,2008-06-09T00:00:00Z,2,1,,,
,14,14,05910,,BW(KH.AA),BLB,L...907446,,U,,2008-06-09T00:00:00Z,,1,A,RB,U,
,15,15,05910,,BW(BBAX),BLB,L...909956,,F,,1999-07-23T00:00:00Z,2008-03-12T00:00:00Z,2,1,,,
,15,15,05910,,BW(BBAX),,,,F,,2008-03-12T00:00:00Z,2009-05-22T00:00:00Z,0,A,,,
,15,15,05910,,BW(KZ.AC),BLB,L...909956,,F,,2009-05-22T00:00:00Z,,2,A,RB,U,
,16,16,05910,,BW(BBAY),BLB,L....89304,,M,,1999-07-23T00:00:00Z,,2,1,RB,U,
,17,17,05910,,BW(BBAZ),BLB,L....89305,,U,,1999-07-23T00:00:00Z,,2,1,RB,U,
,18,18,05910,,BW(BAAA),BLB,L....89306,,U,,1999-07-23T00:00:00Z,,2,1,,,
,19,19,05910,,BW(BAAB),BLB,L....89307,,U,,1999-07-23T00:00:00Z,,2,1,RB,U,
,20,20,05910,,BW(BAAC),BLB,L....89308,,U,,1999-07-23T00:00:00Z,,2,1,,,
,21,21,05910,,BW(BAAF),BLB,L....89309,,U,,1999-07-23T00:00:00Z,,2,1,RB,U,
,22,22,05910,,BW(BAAG),BLB,L....89310,,M,,1999-07-23T00:00:00Z,2004-05-19T00:00:00Z,2,1,,,
,22,22,05910,,BW(BAAG),,,,M,,2004-05-19T00:00:00Z,,0,A,RB,U,
,23,23,05910,,BW(BAAH),BLB,L....89311,,M,,1999-07-23T00:00:00Z,2009-04-07T00:00:00Z,2,1,,,
,23,23,05910,,BW(BAAH),,,,M,,2009-04-07T00:00:00Z,,0,,RB,U,
,24,24,05910,,BW(BAAJ),BLB,L....89312,,U,,1999-07-23T00:00:00Z,,2,1,,,
,25,25,05910,,BW(BAAK),BLB,L....89313,,M,,1999-07-23T00:00:00Z,2006-05-18T00:00:00Z,2,1,,,
,25,25,05910,,BW(BAAK),,,,M,,2006-05-18T00:00:00Z,,0,A,RB,U,
,26,26,05910,,BW(BCAV),BLB,L...909920,,M,,1999-07-29T00:00:00Z,2005-04-08T00:00:00Z,2,1,,,
,26,26,05910,,BW(BCAV),,,,M,,2005-04-08T00:00:00Z,2009-06-01T00:00:00Z,0,A,,,
,26,26,05910,,BW(L.MAA),BLB,L...909920,,M,,2009-06-01T00:00:00Z,,2,A,RB,U,
,27,27,05910,,BW(BCAW),BLB,L....89216,,U,,1999-07-29T00:00:00Z,,2,1,,,
,28,28,05910,,BW(BCAX),BLB,L....89217,,U,,1999-07-29T00:00:00Z,,2,1,RB,,
,29,29,05910,,BW(BCAY),BLB,L....89218,,U,,1999-07-29T00:00:00Z,,2,1,,,
,30,30,05910,,BW(BCAZ),BLB,L....89219,,U,,1999-07-29T00:00:00Z,,2,1,,,
