bird_id	bird_reference	bird_euring	bird_bto	bird_shorthand	bird_scheme	bird_ring_number	bird_name	bird_sex	bird_birth_year	bird_date_begin	bird_date_end	bird_age_ringing	bird_notes
	1	05910		BBAJ	BE	L....89194		U		1999-07-20T00:00:00Z		1	
	2	05910		BAAV	BE	L....89321		U		1999-07-23T00:00:00Z		1	
	3	05910		BAAW	BE	L....89322		U		1999-07-23T00:00:00Z		1	
	4	05910		BAAX	BE	L....89323		U		1999-07-23T00:00:00Z		1	
	5	05910		BAAY	BE	L....89324		U		1999-07-23T00:00:00Z		1	
	6	05910		BCAA	BE	L....89325		U		1999-07-23T00:00:00Z		1	
	7	05910		BBAL	BE	L....89195		U		1999-07-23T00:00:00Z		1	
	8	05910		BBAP	BE	L....89196		U		1999-07-23T00:00:00Z		1	
	9	05910		BBAR	BE	L....89197		U		1999-07-23T00:00:00Z		1	
	10	05910		BKAX	BE	L....89198		M		1999-07-23T00:00:00Z		1	
	11	05910		BBAT	BE	L...907013		M		1999-07-23T00:00:00Z	2007-06-18T00:00:00Z	1	
	11	05910		GHA.B	BE	L...907013		M		2007-06-18T00:00:00Z		A	
	12	05910		BBAU	BE	L....89200		U		1999-07-23T00:00:00Z		1	
	13	05910		BBAV	BE	L....89301		U		1999-07-23T00:00:00Z		1	
	14	05910		BBAW	BE	L...907446		U		1999-07-23T00:00:00Z	2008-06-09T00:00:00Z	1	
	14	05910		KH.AA	BE	L...907446		U		2008-06-09T00:00:00Z		A	
	15	05910		BBAX	BE	L...909956		F		1999-07-23T00:00:00Z	2009-05-22T00:00:00Z	1	
	15	05910		KZ.AC	BE	L...909956		F		2009-05-22T00:00:00Z		A	
	16	05910		BBAY	BE	L....89304		M		1999-07-23T00:00:00Z		1	
	17	05910		BBAZ	BE	L....89305		U		1999-07-23T00:00:00Z		1	
	18	05910		BAAA	BE	L....89306		U		1999-07-23T00:00:00Z		1	
	19	05910		BAAB	BE	L....89307		U		1999-07-23T00:00:00Z		1	
	20	05910		BAAC	BE	L....89308		U		1999-07-23T00:00:00Z		1	
	21	05910		BAAF	BE	L....89309		U		1999-07-23T00:00:00Z		1	
	22	05910		BAAG	BE	L....89310		M		1999-07-23T00:00:00Z		1	
	23	05910		BAAH	BE	L....89311		M		1999-07-23T00:00:00Z		1	
	24	05910		BAAJ	BE	L....89312		U		1999-07-23T00:00:00Z		1	
	25	05910		BAAK	BE	L....89313		M		1999-07-23T00:00:00Z		1	
	26	05910		BCAV	BE	L...909920		M		1999-07-29T00:00:00Z	2009-06-01T00:00:00Z	1	
	26	05910		L.MAA	BE	L...909920		M		2009-06-01T00:00:00Z		A	
	27	05910		BCAW	BE	L....89216		U		1999-07-29T00:00:00Z		1	
	28	05910		BCAX	BE	L....89217		U		1999-07-29T00:00:00Z		1	
	29	05910		BCAY	BE	L....89218		U		1999-07-29T00:00:00Z		1	
	30	05910		BCAZ	BE	L....89219		U		1999-07-29T00:00:00Z		1	
	31	05910		BDAA	BE	L....89220		U		1999-07-29T00:00:00Z		1	
	32	05910		ADAP	BE	L...913155		M		1999-07-29T00:00:00Z	2011-05-26T00:00:00Z	1	
	32	05910		NG.AP	BE	L...913155		M		2011-05-26T00:00:00Z		A	
	33	05910		BDAB	BE	L....89222		U		1999-07-29T00:00:00Z		1	
	34	05910		BDAC	BE	L....89223		U		1999-07-29T00:00:00Z		1	
	35	05910		BDAD	BE	L...906637		M		1999-07-29T00:00:00Z	2007-06-06T00:00:00Z	1	
	35	05910		G.MAA	BE	L...906637		M		2007-06-06T00:00:00Z		A	
	36	05910		BDAF	BE	L....89225		U		1999-07-29T00:00:00Z		1	
	37	05910		BDAG	BE	L....89226		U		1999-07-29T00:00:00Z		1	
	38	05910		BDAH	BE	L...904906		U		1999-07-29T00:00:00Z	2006-06-07T00:00:00Z	1	
	38	05910		DF.AW	BE	L...904906		U		2006-06-07T00:00:00Z		A	
	39	05910		BDAJ	BE	L....89228		U		1999-07-29T00:00:00Z		1	
	40	05910		BDAK	BE	L....89229		U		1999-07-29T00:00:00Z		1	
	41	05910		BDAL	BE	L....89230		U		1999-07-29T00:00:00Z		1	
	42	05910		BDAM	BE	L....89231		F		1999-07-29T00:00:00Z		1	
	43	05910		BBAA	BE	L....89187		U		1999-07-20T00:00:00Z		1	
	44	05910		BBAB	BE	L....89188		M		1999-07-20T00:00:00Z		1	
	45	05910		BBAC	BE	L....89189		U		1999-07-20T00:00:00Z		1	
	46	05910		BBAD	BE	L....89190		U		1999-07-20T00:00:00Z		1	
	47	05910		BBAF	BE	L....89191		F		1999-07-20T00:00:00Z		1	
	48	05910		BDAN	BE	L....89232		F		1999-07-29T00:00:00Z		1	
	49	05910		BDAP	BE	L....89233		F		1999-07-29T00:00:00Z		1	
	50	05910		BDAR	BE	L....89234		U		1999-07-29T00:00:00Z		1	
	51	05910		BDAS	BE	L....89235		U		1999-07-29T00:00:00Z		1	
	52	05910		BDAT	BE	L....89236		U		1999-07-29T00:00:00Z		1	
	53	05910		BDAU	BE	L....89237		M		1999-07-29T00:00:00Z		1	
	54	05910		BDAV	BE	L....89238		M		1999-07-29T00:00:00Z		1	
	55	05910		BDAW	BE	L....89239		U		1999-07-29T00:00:00Z		1	
	56	05910		BDAX	BE	L....89240		U		1999-07-29T00:00:00Z		1	
	57	05910		BDAZ	BE	L....89241		U		1999-07-29T00:00:00Z		1	
	58	05910		AVAT	BE	L....89242		U		1999-07-29T00:00:00Z		1	
	59	05910		BCAR	BE	L....89211		U		1999-07-28T00:00:00Z		1	
	60	05910		BCAS	BE	L....89212		U		1999-07-28T00:00:00Z		1	
	61	05910		BCAT	BE	L....89213		U		1999-07-28T00:00:00Z		1	
	62	05910		BCAU	BE	L....89214		U		1999-07-28T00:00:00Z		1	
	63	05910		BSAY	BE	L...912663		M		1999-07-29T00:00:00Z	2012-05-17T00:00:00Z	1	
	63	05910		TS.AK	BE	L...912663		M		2012-05-17T00:00:00Z		O	
	64	05910		BCAD	BE	L...907008		M		1999-07-28T00:00:00Z	2007-06-14T00:00:00Z	1	
	64	05910		GJA.V	BE	L...907008		M		2007-06-14T00:00:00Z		A	
	65	05910		BCAF	BE	L....89202		U		1999-07-28T00:00:00Z		1	
	66	05910		BCAG	BE	L....89203		U		1999-07-28T00:00:00Z		1	
	67	05910		BCAH	BE	L....89204		U		1999-07-28T00:00:00Z		1	
	68	05910		BCAJ	BE	L....89205		U		1999-07-28T00:00:00Z		1	
	69	05910		BCAK	BE	L....89206		U		1999-07-28T00:00:00Z		1	
	70	05910		BCAL	BE	L....89207		U		1999-07-28T00:00:00Z		1	
	71	05910		BCAM	BE	L....89208		U		1999-07-28T00:00:00Z		1	
	72	05910		BCAN	BE	L...904813		M		1999-07-28T00:00:00Z	2006-05-26T00:00:00Z	1	
	72	05910		DH.AG	BE	L...904813		M		2006-05-26T00:00:00Z		A	
	73	05910		BCAP	BE	L....89210		U		1999-07-28T00:00:00Z		1	
	74	05910			BE	L....85111		U		1999-06-01T00:00:00Z	1999-07-09T00:00:00Z	1	sovon_bird_shorthand not available.
	74	05910		BMAK	BE	L....85111		U		1999-07-09T00:00:00Z		1	
	75	05910			BE	L...909989		M		1999-06-01T00:00:00Z	1999-07-07T00:00:00Z	1	sovon_bird_shorthand not available.
	75	05910		AFAS	BE	L...909989		M		1999-07-07T00:00:00Z	2009-05-25T00:00:00Z	1	
	75	05910		LBA.G	BE	L...909989		M		2009-05-25T00:00:00Z		A	
	76	05910		ASAX	BE	L...909270		M		1999-07-07T00:00:00Z	2008-05-21T00:00:00Z	1	
	76	05910		KC.AN	BE	L...909270		M		2008-05-21T00:00:00Z		A	
